Date,Open_Yahoo,High_Yahoo,Low_Yahoo,Close_Yahoo,Volume_Yahoo,Open_Alpha,High_Alpha,Low_Alpha,Close_Alpha,Volume_Alpha,Open_Diff,High_Diff,Low_Diff,Close_Diff,Volume_Diff,Status
2026-05-20,260.05,265.58,259.53,265.01,34933200,260.05,265.58,259.533,265.01,34493098,0.0,0.0,0.0030000000000427463,0.0,440102,Mismatch
2026-06-12,243.21,243.36,233.59,238.55,51186600,243.21,243.36,233.59,238.55,51251141,0.0,0.0,0.0,0.0,64541,Mismatch
2026-06-25,232.02,232.32,225.55,227.01,77674100,232.02,232.32,225.55,227.01,77858478,0.0,0.0,0.0,0.0,184378,Mismatch
2026-07-02,241.61,246.72,241.08,242.67,48246400,241.605,246.72,241.08,242.67,48298137,0.005000000000023874,0.0,0.0,0.0,51737,Mismatch
2026-07-10,249.55,251.03,244.41,245.34,31624900,249.55,251.03,244.41,245.34,31653997,0.0,0.0,0.0,0.0,29097,Mismatch
