Date,Open_Yahoo,High_Yahoo,Low_Yahoo,Close_Yahoo,Volume_Yahoo,Open_Alpha,High_Alpha,Low_Alpha,Close_Alpha,Volume_Alpha,Open_Diff,High_Diff,Low_Diff,Close_Diff,Volume_Diff,Status
2026-05-20,116.22,121.94,114.8,118.96,165086900,116.22,121.94,114.8,118.96,162406643,0.0,0.0,0.0,0.0,2680257,Mismatch
2026-06-12,117.42,127.6,115.33,124.57,151169400,117.415,127.6,115.33,124.57,151526758,0.0049999999999954525,0.0,0.0,0.0,357358,Mismatch
2026-06-25,139.73,140.72,125.41,132.87,122588800,139.73,140.72,125.41,132.87,123120247,0.0,0.0,0.0,0.0,531447,Mismatch
2026-07-02,128.92,130.74,117.63,120.35,124577600,128.915,130.74,117.63,120.35,125021717,0.0049999999999954525,0.0,0.0,0.0,444117,Mismatch
2026-07-10,109.58,110.85,107.45,109.84,70619700,109.575,110.85,107.45,109.84,70846601,0.0049999999999954525,0.0,0.0,0.0,226901,Mismatch
