Date,Open_Yahoo,High_Yahoo,Low_Yahoo,Close_Yahoo,Volume_Yahoo,Open_Alpha,High_Alpha,Low_Alpha,Close_Alpha,Volume_Alpha,Open_Diff,High_Diff,Low_Diff,Close_Diff,Volume_Diff,Status
2026-05-20,428.04,449.39,426.05,447.58,36137500,428.04,449.3899,426.05,447.58,35262889,0.0,9.999999997489795e-05,0.0,0.0,874611,Mismatch
2026-06-12,499.69,521.71,494.0,511.57,31553100,499.685,521.71,494.0,511.57,31618462,0.0049999999999954525,0.0,0.0,0.0,65362,Mismatch
2026-06-25,543.93,550.88,507.0,532.57,27031300,543.93,550.88,507.0,532.57,27115339,0.0,0.0,0.0,0.0,84039,Mismatch
2026-07-02,538.16,547.65,506.0,517.82,28142500,538.16,547.65,506.0,517.82,28228930,0.0,0.0,0.0,0.0,86430,Mismatch
2026-07-10,544.01,560.25,540.05,557.89,20654300,544.005,560.25,540.05,557.89,20704530,0.0049999999999954525,0.0,0.0,0.0,50230,Mismatch
