Date,Open_Yahoo,High_Yahoo,Low_Yahoo,Close_Yahoo,Volume_Yahoo,Open_Alpha,High_Alpha,Low_Alpha,Close_Alpha,Volume_Alpha,Open_Diff,High_Diff,Low_Diff,Close_Diff,Volume_Diff,Status
2026-05-20,414.17,422.1,411.3,421.06,27864000,414.165,422.1,411.3001,421.06,27655979,0.0049999999999954525,0.0,9.999999997489795e-05,0.0,208021,Mismatch
2026-06-12,391.43,391.74,382.27,390.74,34865800,391.43,391.74,382.27,390.74,34922036,0.0,0.0,0.0,0.0,56236,Mismatch
2026-06-25,362.77,364.23,349.2,352.83,66179000,362.77,364.23,349.2,352.83,66360473,0.0,0.0,0.0,0.0,181473,Mismatch
2026-07-02,384.48,392.2,383.7,390.49,42128900,384.48,392.2,383.7,390.49,42194409,0.0,0.0,0.0,0.0,65509,Mismatch
2026-07-10,387.8,391.91,381.5,385.1,24612200,387.8,391.91,381.5,385.1,24644605,0.0,0.0,0.0,0.0,32405,Mismatch
