Date,Open_Yahoo,High_Yahoo,Low_Yahoo,Close_Yahoo,Volume_Yahoo,Open_Alpha,High_Alpha,Low_Alpha,Close_Alpha,Volume_Alpha,Open_Diff,High_Diff,Low_Diff,Close_Diff,Volume_Diff,Status
2026-05-20,298.18,302.8,298.08,302.25,38229800,298.18,302.8,298.08,302.25,37307876,0.0,0.0,0.0,0.0,921924,Mismatch
2026-06-12,296.03,297.14,289.62,291.13,38742100,296.03,297.14,289.62,291.13,38784789,0.0,0.0,0.0,0.0,42689,Mismatch
2026-06-25,287.4,288.8,273.75,275.15,107013700,287.4,288.8,273.75,275.15,107253659,0.0,0.0,0.0,0.0,239959,Mismatch
2026-07-02,294.12,309.42,293.68,308.63,75352800,294.12,309.42,293.68,308.63,75400626,0.0,0.0,0.0,0.0,47826,Mismatch
2026-07-10,314.72,316.91,312.17,315.32,34109200,314.72,316.91,312.17,315.32,34132321,0.0,0.0,0.0,0.0,23121,Mismatch
