Date,Open_Yahoo,High_Yahoo,Low_Yahoo,Close_Yahoo,Volume_Yahoo,Open_Alpha,High_Alpha,Low_Alpha,Close_Alpha,Volume_Alpha,Open_Diff,High_Diff,Low_Diff,Close_Diff,Volume_Diff,Status
2026-05-20,600.76,608.0,597.81,605.06,11329700,600.755,608.0,597.81,605.06,11217028,0.0049999999999954525,0.0,0.0,0.0,112672,Mismatch
2026-06-12,572.95,576.07,560.9,566.98,14326400,572.95,576.07,560.9,566.98,14347769,0.0,0.0,0.0,0.0,21369,Mismatch
2026-07-02,607.9,610.0,580.42,582.9,21705900,607.895,610.0,580.42,582.9,21750522,0.0049999999999954525,0.0,0.0,0.0,44622,Mismatch
2026-07-10,660.34,677.86,658.01,669.21,40563100,660.335,677.86,658.01,669.21,40608860,0.0049999999999954525,0.0,0.0,0.0,45760,Mismatch
